ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
AAWW,2022-12-31,USD,6696316000,1124918000,763314000,763314000,None,253738000,5641271000,5117533000,1510402000,58766000,58766000,40361000,None,None,None,107866000,None,3631540000,1171283000,115304000,52735000,437046000,437046000,2460257000,41890000,2230910000,411678000,1819232000,2230910000,618933000,35049000,3064776000,339219000,2524871000,353000,28542203,262164000,None,None,None,436000,105986000,23968000,-756000,None,126011000,-251368000,287143000,None,0,0,None,None,None,None,None,0,None,0,None,297939000,None,126011000,623717000,1207423000,583706000,213117000,177094000,59178000,None,154666000,5216000,-26660000,5216000,26660000,-9319000,266000,91258000,78229000,162908000,36897000,26660000,126011000,125996000,177094000,263305000
AAWW,2022-09-30,USD,6242731000,831900000,465499000,465499000,None,259663000,5410831000,4930042000,1466810000,60274000,60274000,None,None,None,None,106738000,None,3309987000,1157413000,93959000,61976000,397875000,451863000,2152574000,179239000,1604571000,397875000,None,1604571000,549615000,32752000,2932744000,337626000,2398860000,352000,28364198,149587000,None,None,None,-19251000,90432000,25037000,-20453000,None,60100000,-193142000,-97401000,None,0,0,None,None,None,None,None,0,None,0,None,-140956000,None,60100000,539469000,1124554000,585085000,249975000,91758000,57237000,None,132709000,2426000,-16097000,2426000,16097000,0,138000,90432000,90432000,78225000,18125000,16097000,60100000,60084000,91758000,184754000
AAWW,2022-06-30,USD,6299008000,993018000,606567000,606567000,None,279033000,5305990000,4810240000,1415347000,61781000,61781000,None,None,None,None,107418000,None,3434442000,1149002000,83771000,66864000,355595000,410733000,2285440000,193842000,1678463000,355595000,None,1678463000,587634000,28764000,2864566000,337635000,2338760000,352000,28320835,218149000,None,None,None,-6529000,87192000,24298000,-18716000,None,88258000,-204157000,-137967000,None,20034000,20034000,None,None,None,None,None,0,None,-20034000,None,88258000,None,88258000,607229000,1124554000,572742000,234117000,132146000,52719000,None,107173000,873000,-16585000,873000,16585000,-708000,-837000,87192000,87192000,114908000,26650000,17274000,88258000,88766000,132146000,218685000
AAWW,2022-03-31,USD,6332805000,1132077000,730349000,730349000,None,297264000,5200728000,4688698000,1360736000,63289000,63289000,None,None,None,None,104464000,None,3571474000,1401471000,122751000,47577000,607999000,663586000,2170004000,207737000,1567188000,607999000,None,1567188000,567557000,31031000,2761331000,317480000,2250501000,351000,28363266,207839000,None,None,None,-6341000,85257000,29895000,-9960000,None,81511000,-171598000,-216355000,None,79966000,79966000,None,None,None,None,None,0,None,-79966000,None,-180114000,None,81511000,450286000,1037156000,586870000,243450000,121396000,42768000,None,95003000,240000,-16659000,240000,16659000,6240000,618000,85257000,85257000,105595000,24084000,16659000,81511000,81589000,121396000,207511000
AAWW,2021-12-31,USD,6443243000,1326022000,910965000,910965000,14600000,305905000,5266680000,4583710000,1319636000,64796000,64796000,40361000,None,None,None,109152000,None,3633906000,1420057000,82885000,58616000,639811000,695194000,2213849000,45477000,2117884000,508285000,1609599000,2117884000,583362000,37954000,2809337000,225461000,2100446000,347000,29215702,314051000,None,None,None,28481000,107388000,26156000,22015000,None,176739000,-90281000,-86894000,None,0,0,None,None,None,None,None,0,None,0,None,136876000,None,176739000,10064000,1162997000,1152933000,812705000,263080000,42401000,None,119299000,164000,-31339000,164000,31339000,-6042000,-469000,92099000,92099000,233446000,56707000,37381000,176739000,177542000,263080000,348832000
AAWW,2021-09-30,USD,6264943000,1155833000,773911000,773911000,None,283362000,5109110000,4533661000,1290928000,66303000,66303000,None,None,None,None,98560000,None,3640679000,1444236000,92708000,63799000,703650000,760320000,2196443000,248274000,0,703650000,None,2621172000,527409000,38119000,2624264000,225327000,1923707000,345000,29025102,265827000,None,None,None,21900000,93015000,20773000,-8945000,None,119535000,-135047000,-107092000,None,0,0,None,None,None,None,None,0,None,0,None,119535000,None,119535000,679422000,1016100000,336678000,62107000,183933000,42966000,None,105430000,159000,-24838000,159000,24838000,810000,-3136000,93015000,93015000,156118000,36583000,24838000,119535000,119725000,183933000,273971000
AAWW,2021-06-30,USD,6139036000,1150202000,750161000,750161000,None,291843000,4988834000,4366211000,1240656000,67811000,67811000,None,None,None,None,108198000,None,3641982000,1319602000,103399000,52129000,606661000,680256000,2322380000,314662000,0,606661000,None,2704971000,483818000,35519000,2497054000,225321000,1804172000,345000,29024700,254981000,None,None,None,6937000,86044000,16697000,1985000,None,107110000,-114840000,-93712000,None,0,0,None,None,None,None,None,0,None,0,None,107110000,None,107110000,676906000,1016100000,313526000,65096000,160077000,39947000,None,101912000,189000,-25142000,189000,25142000,0,4854000,86044000,86044000,139978000,32868000,25142000,107110000,107306000,160077000,251164000
AAWW,2021-03-31,USD,5995417000,1106026000,703777000,703777000,None,289337000,4889391000,4226236000,1192724000,69319000,69319000,None,None,None,None,112912000,None,3612221000,1074583000,110685000,47863000,306462000,462581000,2537638000,432795000,0,306462000,None,2730127000,453454000,39372000,2383196000,225239000,1697062000,345000,29006635,88125000,None,None,None,30245000,86172000,26662000,22745000,None,89933000,-153227000,-77155000,None,0,0,None,None,None,None,None,0,None,0,None,-142257000,None,89933000,555170000,861300000,306130000,65643000,104204000,37672000,None,95904000,211000,-25909000,211000,25909000,-16000,39456000,86172000,86172000,117849000,27916000,25909000,89933000,90137000,104204000,229930000
AAWW,2020-12-31,USD,6029188000,1217721000,845589000,845589000,17600000,265521000,4857491000,4110594000,1147613000,70826000,70826000,40361000,None,None,0,106611000,None,3767649000,1147186000,107604000,41665000,298690000,456422000,2620463000,28982000,2268459000,276990000,1991469000,2268459000,500551000,77576000,2261539000,217889000,1607129000,329000,27517297,226834000,None,None,None,13833000,96499000,33799000,-3060000,None,183967000,-43918000,-55968000,None,0,0,None,None,None,None,None,0,None,0,None,126948000,None,183967000,404926000,932475000,527549000,274641000,193844000,40043000,None,108017000,147000,-33129000,147000,33129000,370000,73661000,87275000,87275000,242461000,58494000,33129000,183967000,184189000,193844000,357225000
AAWW,2020-09-30,USD,5822644000,1169489000,717867000,717867000,None,268376000,4653155000,4025090000,1113964000,72334000,72334000,72334000,None,None,0,183246000,None,3805221000,1173163000,92805000,43720000,296112000,435264000,2632058000,420546000,1862297000,296112000,None,1862297000,493218000,130857000,2017423000,217786000,1423162000,315000,26138539,222318000,None,None,None,49417000,83317000,20039000,28709000,None,74054000,-61347000,-170816000,None,0,0,None,None,None,None,None,0,None,0,None,74054000,None,74054000,509744000,809886000,300142000,67109000,119192000,37731000,None,92712000,225000,-28321000,225000,28321000,156000,62689000,83317000,83317000,110174000,36120000,28328000,74054000,74275000,119192000,221812000
